Name,Return,Total Trades,% Profitable,Drawdown,Avg Trade,Avg Days
PAYTM.NS,1.8113664986218154,22,45.45454545454545,-17.29704674975761,0.08233484084644616,0.0
POLICYBZR.NS,12.592946083442023,25,64.0,-13.671381614161382,0.5037178433376809,0.0
PIIND.NS,3.5018552959451514,15,40.0,-8.274526409556694,0.23345701972967675,0.06666666666666667
PAGEIND.NS,4.972621323029916,19,47.368421052631575,-10.499999999999993,0.2617169117384166,0.3684210526315789
PATANJALI.NS,-11.168245299102313,15,26.666666666666668,-18.67258227651122,-0.7445496866068209,0.0
PERSISTENT.NS,-9.48004812108351,23,39.130434782608695,-24.299739659581412,-0.41217600526450043,0.13043478260869565
PETRONET.NS,-9.331327925436822,17,23.52941176470588,-17.147339752082132,-0.5489016426727542,0.47058823529411764
PIDILITIND.NS,2.765593531397448,22,40.909090909090914,-14.77624154574743,0.12570879688170217,0.5454545454545454
POLYCAB.NS,-8.532870846343238,15,33.33333333333333,-17.90582166601536,-0.5688580564228826,0.3333333333333333
POONAWALLA.NS,16.30725920113507,15,73.33333333333333,-5.154590078201197,1.0871506134090048,0.0
PFC.NS,-2.707495120235669,20,40.0,-17.639618523738726,-0.13537475601178345,0.15
POWERGRID.NS,-6.10287323376833,10,20.0,-10.102873233768335,-0.610287323376833,0.3
PRESTIGE.NS,-1.1731079563615432,13,38.46153846153847,-10.726327410428436,-0.09023907356627256,0.38461538461538464
PGHH.NS,4.777152379056725,9,55.55555555555556,-5.222847620943281,0.5307947087840805,1.3333333333333333
PNB.NS,-3.0616811053712,15,46.666666666666664,-15.69025384183886,-0.20411207369141332,0.6
RECLTD.NS,9.04949576860283,17,58.82352941176471,-9.383212641283016,0.5323232805060488,0.29411764705882354
RELIANCE.NS,4.195372781126224,24,45.83333333333333,-15.74418248890449,0.17480719921359267,1.0
SBICARD.NS,-3.243803428636464,21,38.095238095238095,-17.441213676489955,-0.15446682993506972,0.5714285714285714
SBILIFE.NS,-0.8962130120515243,18,38.88888888888889,-14.339079518496801,-0.04978961178064024,0.6666666666666666
SRF.NS,-5.870522596272198,20,45.0,-20.8446649601797,-0.2935261298136099,0.25
MOTHERSON.NS,5.794208847075922,21,47.61904761904761,-11.834173105589999,0.2759147070036153,0.23809523809523808
SHREECEM.NS,-14.504073751598586,13,15.384615384615385,-18.983996980044456,-1.115697980892199,0.3076923076923077
SRTRANSFIN.NS,-0.17421335865033427,26,50.0,-22.406794696388648,-0.006700513794243626,0.038461538461538464
SIEMENS.NS,-1.0644953844831595,19,36.84210526315789,-14.64551615313959,-0.056026072867534714,0.47368421052631576
SONACOMS.NS,2.9946777800196127,16,43.75,-10.407737175096157,0.1871673612512258,0.0
SBIN.NS,7.962705488850736,20,55.00000000000001,-12.697244118565894,0.39813527444253677,0.4
SAIL.NS,-8.2281648886359,20,40.0,-21.494581825927508,-0.411408244431795,0.35
SUNPHARMA.NS,-0.009460299414029372,14,42.857142857142854,-11.68701585605703,-0.0006757356724306694,0.21428571428571427
SYNGENE.NS,9.807992664764988,14,64.28571428571429,-8.149736303324545,0.7005709046260706,0.35714285714285715
TVSMOTOR.NS,15.722204142660381,15,73.33333333333333,-4.349174113034438,1.0481469428440253,0.2
TATACHEM.NS,10.341755845178902,15,60.0,-5.868131868131867,0.6894503896785935,0.13333333333333333
TATACOMM.NS,2.4775086112467664,20,50.0,-16.696166593212634,0.12387543056233832,0.15
TCS.NS,5.286021781031742,22,50.0,-14.204031866403618,0.24027371731962466,1.3181818181818181
TATACONSUM.NS,-8.4696259900935,25,32.0,-22.4578170058939,-0.33878503960373996,1.0
TATAELXSI.NS,-14.303654590090696,17,29.411764705882355,-22.28795964307813,-0.8413914464759233,0.17647058823529413
TATAMOTORS.NS,5.897552742964921,27,51.85185185185185,-19.259746709214458,0.21842787936907115,0.2222222222222222
TATAPOWER.NS,16.863783818267272,14,78.57142857142857,-3.0000000000000093,1.204555987019091,0.42857142857142855
TATASTEEL.NS,4.780262127325514,18,50.0,-9.851297530441004,0.2655701181847508,0.05555555555555555
TTML.NS,13.13400375718619,23,60.86956521739131,-13.87784939741304,0.5710436416167909,0.043478260869565216
TECHM.NS,-6.982379288143986,26,38.46153846153847,-19.861978812473883,-0.26855304954399944,0.23076923076923078
RAMCOCEM.NS,-4.1098103597450155,16,37.5,-15.724965433910935,-0.25686314748406347,0.0625
TITAN.NS,3.533418420589184,21,47.61904761904761,-15.068649309571896,0.1682580200280564,0.47619047619047616
TORNTPHARM.NS,6.173637393083224,17,52.94117647058824,-10.297813266819992,0.3631551407696014,1.0
TORNTPOWER.NS,-1.9152135405520865,12,33.33333333333333,-9.915213540552092,-0.15960112837934054,0.5
TRIDENT.NS,-20.52733907286692,28,42.857142857142854,-41.73612279822746,-0.73311925260239,0.0
TIINDIA.NS,5.362756368821261,22,59.09090909090909,-19.638986208546743,0.24376165312823914,0.045454545454545456
UPL.NS,-8.493577810445128,18,33.33333333333333,-19.619598892152027,-0.47186543391361824,0.7222222222222222
